1 100
200
1 50
2 4517600 1
2 958859 50
2 9574642 25
2 2447557 37
2 7058292 13
2 7766447 43
2 1018470 7
2 8563017 19
3 1018470 43
2 7558174 7
3 2447557 43
3 7766447 44
2 593429389 37
3 593429389 44
2 5265618 37
2 2978853 43
2 338772 31
2 6303759 46
3 4517600 41
2 685557196 1
2 153447 4
2 3024638 10
2 1326657 16
3 685557196 38
3 6303759 39
3 7058292 40
2 3818802 46
2 7127941 13
2 1303092 22
3 958859 38
3 5265618 39
2 5553147 37
2 4388002 28
3 1303092 38
3 153447 39
3 3818802 40
3 2978853 41
2 4007245 50
3 3024638 41
2 9466386 43
2 89593061 1
2 3871508 46
2 5364047 4
2 5376006 10
2 6023017 22
3 5553147 36
2 2674110 37
2 1264769 34
3 2674110 35
2 4468726 38
2 328857 40
2 4820824 36
3 7127941 33
2 4430001 13
2 7074128 48
2 5770171 2
2 259938 5
2 3991925 8
2 1474404 11
2 7363039 14
2 914134 17
2 2772089 20
2 46904 23
3 259938 24
3 1474404 25
3 4820824 26
3 328857 27
2 6396955 40
2 3521218 36
2 5510485 5
2 4920388 11
3 8563017 24
3 4007245 25
2 563085771 18
3 89593061 25
3 5770171 26
2 9077486 1
3 1264769 26
2 7102959 33
2 8248486 2
2 67540361 26
2 9601032 29
2 8846163 34
2 9737050 41
2 3187149 44
3 9077486 20
2 4324882 50
3 5364047 20
2 2113923 3
2 785196746 1
2 2732669 4
2 734568204 6
2 9933863 9
3 67540361 16
2 1531140 26
2 1916927 12
2 673506550 15
3 734568204 14
3 4468726 15
2 5773125 38
2 3289588 6
2 6533167 19
2 2561766 21
3 9574642 12
2 511932423 24
2 8072990 25
2 8202337 27
2 6181056 30
3 7074128 9
2 9851385 48
3 8072990 9
2 1585166 25
2 9565073 32
3 5510485 8
3 4430001 9
3 338772 10
2 74319298 5
2 2240853 13
3 4920388 9
2 2143482 11
2 552429 31
3 1585166 8
2 9796658 25
3 46904 8
3 9796658 9
3 563085771 10
3 9737050 11
3 8248486 12
3 1916927 13
2 6324617 41
3 5773125 13
2 3277406 38
2 540485409 2
3 540485409 12
3 3187149 13
2 1006236 44
2 287607 2
2 3074766 12
2 1654481 18
3 3289588 10
3 3871508 11
2 1020300 46
2 52135 6
2 3382206 23
2 3281153 25
2 4541280 35
3 6023017 7
3 4541280 8
2 9798231 22
3 1006236 8
3 2143482 9
2 7925162 44
3 7102959 9
2 7365563 11
2 2367970 33
3 287607 8
2 2343827 2
3 9851385 8
2 3657664 48
2 1761003 35
2 9480530 37
2 5445925 39
2 9816532 42
2 806269967 45
2 4373446 47
2 8441385 49
3 6533167 1
2 6907646 19
3 3991925 1
3 7925162 2
3 1020300 3
3 7558174 4
2 893145 7
3 6181056 4
2 390382 8
2 8026097 30
3 390382 3
3 3277406 4
2 807596 8
2 2753223 38
2 9564510 44
3 4324882 2
3 9601032 3
3 2732669 4
3 785196746 5
2 624569 1
3 1531140 5
2 14010318 4
3 5445925 5
2 9601871 26
2 482438 29
3 2561766 4
3 8441385 5
3 552429 6
3 2240853 7
2 7392641 50
2 7860960 13
2 475019 21
3 9564510 5
